time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1207,5002,86.68554,2.62421,0.05335031,-0.001735799,-28.4058751116829,86.6871085505578,2.63599813356772,0.0546041504198159,-0.031244382,0.011687718558838,0.00125384041981587,79.0464243455792,2.21627370793627,0.05335031,-0.00173624916779829,81.9015282847549,2.36486805651646,0.0574350387722393,-0.0312524850203692,-0.00386550326881951,0.00408472877223928
1208,5009,86.81282,2.630993,0.05312634,-0.001773167,-28.682141317045,86.8185896480044,2.6431963006397,0.0543015910639533,-0.031917006,0.0118797072287438,0.0011752510639533,79.1736131716874,2.22476765088666,0.05312634,-0.00177307113397733,82.0329930769239,2.37237817694455,0.0574679184232791,-0.031915280411592,-0.0044346747268055,0.00434157842327915
1209,5017,86.95829,2.638709,0.05286453,-0.001815877,-29.0984600910809,86.9501321392609,2.65036133049542,0.0539931781379315,-0.032685786,0.0120671127749858,0.00112864813793147,79.3189770796427,2.23448368552578,0.05286453,-0.0018164905686015,82.1645180721756,2.37987848649049,0.0574963761628105,-0.032696830234827,-0.00516644718868015,0.00463184616281051
1210,5024,87.08558,2.64543,0.05263036,-0.001853253,-29.3637879711131,87.0817360198678,2.65749249488129,0.0536790124552108,-0.033358554,0.0122480091273163,0.00104865245521078,79.4461726316548,2.24299359449896,0.05263036,-0.00185229284250368,82.2961032702359,2.38736824567103,0.0575203356999743,-0.0333412711650662,-0.00574889779760537,0.00488997569997428
1211,5031,87.21286,2.65212,0.05239142,-0.001890633,-29.6235459341098,87.2134012829234,2.66458908739416,0.0533591953884008,-0.034031394,0.0124236327436634,0.00096777538840076,79.5733566915767,2.2515089659662,0.05239142,-0.00189123726976632,82.4277486705782,2.39484670733355,0.0575397230469778,-0.0340422708557937,-0.00633617945722129,0.0051483030469778
1212,5038,87.34014,2.658779,0.05214772,-0.001928016,-29.8775924320536,87.34512792179,2.67165037106741,0.0530338145016868,-0.034704288,0.0125938830526633,0.000886094501686793,79.7005392895226,2.26002972480011,0.05214772,-0.00192861177743487,82.5594542711426,2.40231313629164,0.0575544675582099,-0.0347150119938276,-0.0069283431711463,0.00540674755820988
1213,5046,87.48561,2.666351,0.05186338,-0.001970745,-30.2792956333529,87.4769159283584,2.67867561201368,0.0527029595325958,-0.03547341,0.0127587421227584,0.000839579532595766,79.8458962179831,2.26977398495615,0.05186338,-0.00197094209604304,82.6912200683192,2.40976681121727,0.0575645013652764,-0.0354769577287748,-0.00769737453971323,0.00570112136527644
1214,5053,87.6129,2.672942,0.05160947,-0.002008137,-30.524959111577,87.608765294154,2.68566408436167,0.0523667254809311,-0.036146466,0.0129184405095229,0.000757255480931071,79.9730857693816,2.27830479744541,0.05160947,-0.0020077662311997,82.8230460580862,2.41720703038012,0.0575697593279861,-0.0361397921615946,-0.00830236599827344,0.00596028932798614
1215,5060,87.74018,2.6795,0.05135081,-0.002045533,-30.7654485084292,87.74067601,2.6926150494874,0.0520252060604142,-0.036819594,0.0130723023896092,0.000674396060414251,80.1002639480948,2.28683892497387,0.05135081,-0.00204570689530023,82.9549322345115,2.42463311847626,0.0575701794633072,-0.0368227241154042,-0.00891255521427037,0.00621936946330722
1216,5067,87.86747,2.686026,0.05108738,-0.002082934,-31.0003414150468,87.8726480680996,2.69952771189413,0.0516784793253303,-0.037492812,0.0132196776503036,0.000591099325330267,80.2274507744763,2.29537752166057,0.05108738,-0.00208193677126863,83.0868785891329,2.43204443348884,0.0575657039087799,-0.0374748618828354,-0.00952853475243035,0.00647832390877987
