time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
686,884,27.86201,0.01572325,-0.00101404,-0.0002175885,-3.01277225011056,27.852562641016,0.0099597887052832,-0.000505162263339459,-0.00146875988122459,-0.0057730383297617,0.000508877736660541,20.2120139331597,0.0234806546705396,-0.00101404,-0.000217569314401724,23.0590531983849,0.0113228486775277,-0.000262082550482099,-0.000103794608631427,-0.00927078854048113,0.000751957449517901
687,886,27.93474,0.01564892,-0.001029912,-0.000218432,-3.03308279002224,27.9428788304211,0.00990433087032862,-0.000520029172787201,-0.00150464884105441,-0.00573620380534025,0.000509882827212799,20.2847440572488,0.0235277454071302,-0.001029912,-0.000218481733161033,23.1493700095783,0.0112921032494082,-0.000263182103803041,-0.00011616571147802,-0.00928532354619485,0.000766729896196959
688,889,28.04384,0.01553525,-0.001053835,-0.0002196974,-3.08173637868865,28.0332997476316,0.00984726869089579,-0.000535254895019956,-0.00154055645813971,-0.00569908583545755,0.000518580104980044,20.393844247923,0.0235970862577966,-0.001053835,-0.000219746853549341,23.2397915396075,0.0112606743538251,-0.00026440698122656,-0.000128857143358761,-0.00933724674475474,0.00078942801877344
689,891,28.11658,0.01545802,-0.00106986,-0.000220541,-3.09965599941105,28.1238253005374,0.00978856563225022,-0.000550840010999502,-0.00157649541398876,-0.00566169966736595,0.000519019989000498,20.4665843780962,0.0236424474386833,-0.00106986,-0.000220511285280882,23.3303176960513,0.0112285387510116,-0.000265760352951409,-0.000141865827646785,-0.00935010844011229,0.00080409964704859
690,894,28.22568,0.01533998,-0.001094014,-0.0002218063,-3.1481946684503,28.2144553969861,0.00972818635880193,-0.000566784542176123,-0.00161247141726411,-0.00562407015330622,0.000527229457823877,20.5756845780144,0.0237091854305293,-0.001094014,-0.00022180355261482,23.4209483869435,0.011195672883852,-0.000267245397124189,-0.000155189040767317,-0.00940074723843956,0.000826768602875811
691,896,28.29841,0.01525982,-0.001110192,-0.0002226499,-3.16701974256274,28.3051899443216,0.00966609334600753,-0.000583089159323441,-0.00164847350630544,-0.00558619616838518,0.000527102840676559,20.6484147144125,0.0237527870553656,-0.001110192,-0.000222689632668668,23.5116835201599,0.0111620534679812,-0.000268865228794372,-0.000168824598978832,-0.00941194835917774,0.000841326771205628
692,899,28.40751,0.01513737,-0.001134576,-0.0002239153,-3.21473641812128,28.3960288490149,0.009602251027919,-0.000599753699487788,-0.00168448756334573,-0.00554814164507062,0.000534822300512212,20.7575149237793,0.023816874537866,-0.001134576,-0.00022395475234415,23.6025230028783,0.0111276564902408,-0.000270622984537122,-0.000182771047705459,-0.00946133268661677,0.000863953015462878
693,901,28.48025,0.01505425,-0.001150908,-0.0002247588,-3.23174032928639,28.4869720163292,0.00953662219050966,-0.000616778604722623,-0.0017205101939529,-0.00550988773453413,0.000534129395277377,20.8302550665532,0.0238586942562877,-0.001150908,-0.000224745521714566,23.6934667411097,0.0110924578877549,-0.000272521744118204,-0.000197026381282578,-0.00947093541906866,0.000878386255881796
694,904,28.58935,0.01492735,-0.001175521,-0.0002260242,-3.27859383786717,28.578019350223,0.00946917183244963,-0.000634163590151288,-0.0017565341128593,-0.00547149381004907,0.000541357409848712,20.9393552855742,0.0239200835788988,-0.001175521,-0.000225982797966726,23.7845146395003,0.0110564326750361,-0.000274564609031558,-0.000211589358881828,-0.00951909821743784,0.000900956390968442
695,906,28.66208,0.01484125,-0.001192007,-0.0002268678,-3.29647401781505,28.6691707533722,0.00939986378018123,-0.000651908943540288,-0.00179254484975178,-0.00543293012838563,0.000540098056459712,21.012085434868,0.023960101390533,-0.001192007,-0.00022689752962176,23.8756666013254,0.011019555672485,-0.000276754630566578,-0.000226458954798069,-0.00952712853741903,0.000915252369433422
696,909,28.77118,0.01470984,-0.001216851,-0.0002281331,-3.34349617237114,28.7604261274373,0.0093286645108885,-0.000670014102239214,-0.00182852572821235,-0.00539425736244015,0.000546836897760786,21.1211856637776,0.0240187478526754,-0.001216851,-0.000228190151115494,23.9669225287753,0.0109818007564432,-0.000279094891133815,-0.000241634568875761,-0.00957410054883432,0.000937756108866185
697,911,28.84392,0.01462073,-0.00123349,-0.0002289767,-3.35915416489881,28.8517853733967,0.00925553915865897,-0.000688479062255745,-0.00186446960454989,-0.00535548490280828,0.000545010937744255,21.1939258197275,0.0240569261071413,-0.00123349,-0.000228979755495173,24.0582823233681,0.0109431418219283,-0.000281588423311277,-0.00025711450217979,-0.00958062010119081,0.000951901576688723
698,914,28.95302,0.01448479,-0.001258563,-0.000230242,-3.40494579128842,28.9432483920191,0.0091804547394203,-0.000707303089908991,-0.00190037137883286,-0.00531662924060615,0.000551259910091009,21.3030260587259,0.0241127944082371,-0.001258563,-0.000230217030882538,24.1497458865133,0.0109035522382742,-0.000284238279303468,-0.000272896786106718,-0.00962645640759297,0.000974324720696532
699,916,29.02575,0.01439264,-0.001275356,-0.0002310856,-3.42146901654662,29.0348150842567,0.00910337636445188,-0.000726486039297577,-0.00193621485377273,-0.00527769812750482,0.000548869960702423,21.3757562214876,0.0241491107551293,-0.001275356,-0.000231132926487742,24.2413131200071,0.0108630058102401,-0.000287047451606249,-0.000288979308997227,-0.00963148994660141,0.000988308548393751
700,919,29.13485,0.01425212,-0.001300659,-0.000232351,-3.46706395348415,29.1264853516193,0.00902427115822431,-0.000746026873603865,-0.00197198039581376,-0.00523872397189487,0.000554632126396135,21.4848564708045,0.0242021585445631,-0.001300659,-0.000232398044426953,24.3329839264704,0.0108214760876967,-0.000290018953259423,-0.000305360206260701,-0.0096762295748423,0.00101064004674058
701,921,29.20759,0.0141569,-0.001317605,-0.0002331945,-3.48099574163536,29.2182590963298,0.00894310430867356,-0.00076592511281518,-0.00200766064319606,-0.00519973351493421,0.00055167988718482,21.5575966405163,0.024236575333474,-0.001317605,-0.000233158996109006,24.4247582095343,0.010778937296947,-0.000293155733575987,-0.000322036359483893,-0.00967984102868647,0.00102444926642401
702,924,29.31669,0.01401176,-0.001343139,-0.0002344599,-3.52637517179348,29.3101362213863,0.00885984253190708,-0.000786179531888694,-0.00204324929154841,-0.00516071545401323,0.000556959468111306,21.6666969003845,0.024286770260608,-0.001343139,-0.000234451260897774,24.5166358738621,0.0107353636209137,-0.000296460748787069,-0.000339004526969036,-0.00972353138420334,0.00104667825121293
703,926,29.38942,0.01391344,-0.001360238,-0.0002353034,-3.54040101613216,29.4021166303846,0.00877445044020904,-0.000806789482271509,-0.00207872714813453,-0.00512171437179525,0.000553448517728491,21.7394270771953,0.0243192574911098,-0.001360238,-0.000235276110317621,24.6086168248907,0.0106907299308447,-0.000299936883216251,-0.000356261527213642,-0.00972573523168558,0.00106030111678375
704,929,29.49852,0.01376364,-0.001386002,-0.0002365688,-3.58570088387748,29.4942002272832,0.00868689458666425,-0.000827753401195789,-0.00211407704580803,-0.0050827277488268,0.000558248598804211,21.8485273478297,0.0243665519052975,-0.001386002,-0.000236605934662159,24.7007009684605,0.0106450108331694,-0.000303587031455366,-0.000373804313484026,-0.00976841081569553,0.00108241496854463
705,931,29.57126,0.0136622,-0.001403255,-0.0002374124,-3.59858628374125,29.5863869160207,0.00859713942330743,-0.000849070310551653,-0.00214928668937928,-0.00504382867625142,0.000554184689448347,21.9212675319003,0.0243970972269408,-0.001403255,-0.000237393223847011,24.7928882102961,0.0105981813783891,-0.000307414013150772,-0.00039162923371224,-0.00976928751006868,0.00109584098684923
706,934,29.68036,0.01350769,-0.001429249,-0.0002386777,-3.64257014671483,29.6786766002227,0.00850515121851032,-0.000870738389140506,-0.00218434557302526,-0.00500493966864493,0.000558510610859494,22.0303678135278,0.0244414411275075,-0.001429249,-0.000238657992564391,24.8851784555636,0.0105502160520891,-0.000311420653865322,-0.000409732899384847,-0.00981097702108477,0.00111782834613468
707,936,29.75309,0.0134031,-0.001446655,-0.0002395213,-3.65557663140487,29.7710691829004,0.00841089422211058,-0.000892756423847818,-0.00221923788533403,-0.00496619088825302,0.000553898576152182,22.1030980049995,0.0244700068898422,-0.001446655,-0.000239510336590714,24.9775716084693,0.0105010894213396,-0.000315609703476567,-0.000428112008824666,-0.00981053269097489,0.00113104529652343
708,939,29.86219,0.01324384,-0.001472879,-0.0002407866,-3.69985381634049,29.8635645663602,0.00831433492705193,-0.000915122287591695,-0.00225394479011598,-0.00492747515678854,0.000557756712408305,22.2121982978485,0.0245113602760908,-0.001472879,-0.000240841324420422,25.0700675720985,0.0104507750883586,-0.000319983924347445,-0.000446764038468768,-0.00985127581954465,0.00115289507565256
709,942,29.97129,0.01308171,-0.001499241,-0.000242052,-3.74309396119026,29.956162652185,0.00821543820923968,-0.000937834413185636,-0.00228845233153551,-0.00488894585331374,0.000561406586814364,22.3212985975411,0.0245508993534043,-0.001499241,-0.000242106440096312,25.1626662484022,0.010399246416478,-0.000324546010628225,-0.000465686105953962,-0.00989174375002678,0.00117469498937177
710,944,30.04403,0.01297202,-0.001516892,-0.0002428955,-3.75404238873538,30.0488633414501,0.00811417113691622,-0.000960890409312486,-0.00232275477197213,-0.00485051162005641,0.000556001590687514,22.3940388011754,0.0245762393498555,-0.001516892,-0.000242864720826126,25.2553675384544,0.0103464756776055,-0.000329298668598034,-0.000484875310531845,-0.00988942229472358,0.00118759333140197
