time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1800,9795,173.8389,2.999729,0.0001585144,-1.385032e-05,-1.57540547538518,173.847955236044,3.00200075948575,0.000211658258464339,-0.000772144170361774,0.00227032407190322,5.31438584643387e-05,166.18890009611,2.99851636484508,0.0001585144,-1.3835164647204e-05,169.054901505139,3.00048139669044,0.000325927150321379,0.000468221970981518,0.00151072932882393,0.000167412750321379
1801,9804,174.0026,2.999755,0.0001561661,-1.474825e-05,-1.57333682612144,174.006834368574,3.00204620717323,0.000203949817020352,-0.000769499698627322,0.00229054588047093,4.77837170203519e-05,166.352600093284,2.99856032933986,0.0001561661,-1.47362635360613e-05,169.213780986379,3.00052216033859,0.000330445228920532,0.000435445229729334,0.00151501151515889,0.000174279128920532
1802,9813,174.1662,2.99978,0.0001536709,-1.564618e-05,-1.57181545691371,174.165739483898,3.00209057430138,0.000196269428381888,-0.000766536458635011,0.00231064504202153,4.25985283818878e-05,166.516200090326,2.99860441761963,0.0001536709,-1.56318679194984e-05,169.372686447966,3.00056291562112,0.000334637341028584,0.00040303213395517,0.00151953915068023,0.000180966441028584
1803,9822,174.3299,2.999805,0.0001510287,-1.654412e-05,-1.57020505869058,174.324670527853,3.00213385178407,0.000188620159137968,-0.000763281925701875,0.00232964155788983,3.75914591379682e-05,166.679900087247,2.99864963044939,0.0001510287,-1.65329668083542e-05,169.531617836297,3.00060363513909,0.000338507207125786,0.000370999528627942,0.00152331344464639,0.000187478507125786
1804,9830,174.4753,2.999827,0.0001485568,-1.734228e-05,-1.56625244887385,174.483627446343,3.00217603147018,0.000181004727332286,-0.000759776204354829,0.00234779434548045,3.24479273322863e-05,166.825300084414,2.99869054048418,0.0001485568,-1.74198892634813e-05,169.690575097863,3.0006442919232,0.000342058716767489,0.000339364301149437,0.00152809533191142,0.000193501916767489
1805,9839,174.639,2.999851,0.0001456371,-1.824021e-05,-1.56506348667147,174.642610185355,3.002217105706,0.000173425442431735,-0.000756058381676332,0.00236557990398334,2.77883424317353e-05,166.989000081129,2.99873687618894,0.0001456371,-1.82197799722512e-05,169.849558179249,3.00068485964685,0.000345295926217242,0.000308142773461813,0.0015313800529352,0.000199658826217242
1806,9848,174.8026,2.999874,0.0001425704,-1.913814e-05,-1.56441494766633,174.801618690977,3.00225706750221,0.000165884338278973,-0.000752137162884927,0.00238320738361181,2.33139382789735e-05,167.152600077748,2.9987833364437,0.0001425704,-1.92265192196366e-05,170.008567027148,3.00072531272141,0.000348223045891573,0.000277349018284587,0.00153479990899164,0.000205652645891573
1807,9857,174.9663,2.999897,0.0001393568,-2.003607e-05,-1.56366743278556,174.96065290941,3.00229591105917,0.000158383381018643,-0.00074804157505401,0.00239969799634383,1.90265810186432e-05,167.316300074283,2.99883092048345,0.0001393568,-2.00164833956492e-05,170.167601588356,3.00076562632095,0.000350844421862553,0.000246997426474729,0.00153735756516189,0.000211487621862553
1808,9865,175.1118,2.999917,0.0001363769,-2.083423e-05,-1.561642569771,175.119712786983,3.00233363044369,0.000150924031578889,-0.000743819366542772,0.00241555129985753,1.45471315788892e-05,167.46180007114,2.99887371671823,0.0001363769,-2.08131866875436e-05,170.326661809782,3.00080577672223,0.000353164553328287,0.000217102947535109,0.00154135902439703,0.000216787653328287
1809,9874,175.2754,2.999939,0.0001328857,-2.173217e-05,-1.5612907283764,175.278798270169,3.00237021979984,0.000143507382702883,-0.000739511538093776,0.00243076819686707,1.0621682702883e-05,167.625400067544,2.99892242439799,0.0001328857,-2.17142855832018e-05,170.485747638439,3.00084574126287,0.000355188080425102,0.000187679603520997,0.0015432175598184,0.000222302380425102
1810,9883,175.4391,2.999961,0.0001292476,-2.26301e-05,-1.56082007901274,175.437909305595,3.0024056731518,0.000136134120418239,-0.00073513955054095,0.00244482702577926,6.88652041823902e-06,167.789100063896,2.99897225586275,0.0001292476,-2.26098899733644e-05,170.644859021448,3.00088549831403,0.000356919779512586,0.000158739518873383,0.00154414244488663,0.000227672179512586
1811,9892,175.6027,2.999982,0.0001254625,-2.352803e-05,-1.56086348019083,175.59704584005,3.00243998535077,0.000128804849571521,-0.000730722240417811,0.00245869471646237,3.34234957152061e-06,167.952700060209,2.99902221187752,0.0001254625,-2.35054941861557e-05,170.803995906026,3.00092502697196,0.000358364534804165,0.000130293428399994,0.00154508437535087,0.000232902034804165
1812,9900,175.7482,3,0.0001219746,-2.432619e-05,-1.55957118236803,175.756207820483,3.00247315131449,0.000121519784431895,-0.000726304217013574,0.00247217454539641,-4.54815568104878e-07,168.098200056908,2.99906689431231,0.0001219746,-2.43021976554541e-05,170.963158239475,3.00096430705044,0.000359527343211786,0.000102352372886843,0.00154796059654239,0.000237552743211786
1813,9909,175.9118,3.000019,0.0001180077,-2.41067e-05,-1.55761901683706,175.915395194006,3.00250516619084,0.000114278796432075,-0.0007219115634531,0.00248574191295833,-3.72890356792479e-06,168.261800053266,2.9991162410971,0.0001180077,-2.40879119424615e-05,171.122345969168,3.00100331885645,0.00036041330122111,7.49253178667982e-05,0.00154951130271623,0.00024240560122111
1814,9918,176.0755,3.000038,0.0001140899,-2.380739e-05,-1.55467613689779,176.074607907891,3.00253602582574,0.000107081555046315,-0.00071755257890006,0.00249812758818358,-7.00834495368484e-06,168.425500049788,2.99916521226689,0.0001140899,-2.37857141420889e-05,171.281559042538,3.00104204292652,0.000361027585623825,4.80189938236745e-05,0.00155098316323944,0.000246937685623825
1815,9927,176.2391,3.000057,0.000110221,-2.350807e-05,-1.55092032740741,176.233845909566,3.00256572758819,9.99277927455021e-05,-0.000713213894526491,0.00250930668405598,-1.02932072544979e-05,168.589100046469,2.99921380935171,0.000110221,-2.36132595243485e-05,171.440797407067,3.00108045974093,0.00036137542546993,2.16375442870005e-05,0.0015523334437414,0.00025115442546993
1816,9935,176.3846,3.000073,0.0001068231,-2.324202e-05,-1.54574140204838,176.39310914661,3.0025942706573,9.281739380931e-05,-0.000708875403161133,0.00252036166950067,-1.400570619069e-05,168.734600043648,2.99925580328655,0.0001068231,-2.3219780079572e-05,171.600061010278,3.00111854962678,0.000361462084379278,-4.21635606714726e-06,0.00155664890679351,0.000254638984379278
1817,9944,176.5483,3.00009,0.0001030467,-2.294271e-05,-1.54176762963987,176.552397566743,3.00262165622021,8.5750507944575e-05,-0.000704505481083071,0.00253123396603896,-1.7296192055425e-05,168.898300040616,2.9993016927464,0.0001030467,-2.29230767846604e-05,171.75934979973,3.00115629277909,0.000361292845613516,-2.95413060009291e-05,0.00155977828716148,0.000258246145613516
1818,9953,176.7119,3.000106,9.931931e-05,-2.26434e-05,-1.53765694911187,176.711711117828,3.00264788747517,7.87276578229812e-05,-0.000700059306566817,0.00254190622228016,-2.05916521770188e-05,169.061900037731,2.99934620727975,9.931931e-05,-2.26230767864718e-05,171.918663723021,3.00119366942531,0.000360873001775339,-5.43368881938285e-05,0.00156373033886355,0.000261553691775339
1819,9962,176.8756,3.000122,9.564091e-05,-2.234409e-05,-1.53278080314164,176.871049747858,3.0026729693761,7.1749809185897e-05,-0.000695502976790027,0.00255140455469242,-2.3891100814103e-05,169.225600034988,2.99939034703962,9.564091e-05,-2.23236262388642e-05,172.078002727786,3.00123066011602,0.000360207849731339,-7.86020704804263e-05,0.00156750667917386,0.000264566939731339
1820,9971,177.0392,3.000138,9.201148e-05,-2.204478e-05,-1.52713696629542,177.030413404955,3.00269690739463,6.48181332079207e-05,-0.000690822675503819,0.00255971585141575,-2.71933467920793e-05,169.389200032383,2.99943411217899,9.201148e-05,-2.2024725141733e-05,172.23736676171,3.00126724621828,0.00035930270568725,-0.000102334333938023,0.0015710699958433,0.00026729122568725
1821,9979,177.1847,3.000151,8.882645e-05,-2.177872e-05,-1.52042423716996,177.189802037361,3.00271970681623,5.79339562273275e-05,-0.000685999011816705,0.00256825361023042,-3.08924937726725e-05,169.53470003018,2.99947147765839,8.882645e-05,-2.17587910774387e-05,172.396755772534,3.00130341024465,0.000358162912434153,-0.000125531032845496,0.00157770632806677,0.000269336462434153
1822,9988,177.3483,3.000165,8.528954e-05,-2.147941e-05,-1.51466470097457,177.349215593434,3.00274137267549,5.10988524644392e-05,-0.000681002474517997,0.00257629457557393,-3.41906875355608e-05,169.698300027824,2.99951253501979,8.528954e-05,-2.14598899803084e-05,172.556169708066,3.00133913596395,0.000356793836970606,-0.000148190010262716,0.00158285454740775,0.000271504296970606
1823,9997,177.512,3.000179,8.180162e-05,-2.11801e-05,-1.50819083230292,177.50865402163,3.00276190997784,4.43147366457772e-05,-0.000675793984924995,0.00258318367564958,-3.74868833542228e-05,169.862000025595,2.9995532176077,8.180162e-05,-2.11609888832122e-05,172.715608516187,3.00137440833698,0.000355200863995181,-0.000170309961616836,0.00158776092607134,0.000273399243995181
1824,10006,177.6756,3.000192,7.836269e-05,-2.088079e-05,-1.50166196319965,177.668117270496,3.0027813239388,3.75838935992109e-05,-0.000670346175796612,0.00258991029766151,-4.07787964007891e-05,170.025600023488,2.99959252542211,7.836269e-05,-2.08615383355697e-05,172.875072144857,3.00140921332753,0.000353389389740824,-0.000191889480511847,0.00159339559955884,0.000275026699740824
1825,10014,177.8211,3.000203,7.534697e-05,-2.061474e-05,-1.49369965757378,177.827605288648,3.00279961961772,3.09087876274356e-05,-0.000664642942775371,0.00259612945656502,-4.44381823725644e-05,170.171100021715,2.99962659568004,7.534697e-05,-2.05961538150568e-05,173.034560542117,3.00144353772045,0.000351364827066582,-0.000212927066847026,0.00160118896152608,0.000276017857066582
1826,10023,177.9847,3.000215,7.200056e-05,-2.031543e-05,-1.48652170824674,177.987118024759,3.00281680206173,2.42920729510256e-05,-0.000658664970679356,0.00260162795584874,-4.77084870489744e-05,170.334700019829,2.99966419571648,7.200056e-05,-2.04088397478528e-05,173.194073656087,3.00147736875742,0.000349132599023339,-0.000233422084074298,0.00160729653335922,0.000277132039023339
1827,10032,178.1484,3.000227,6.870312e-05,-2.001612e-05,-1.47869337892669,178.146655427545,3.00283287654239,1.77366277504808e-05,-0.0006523816683511,0.00260599639380945,-5.09664922495192e-05,170.498400018054,2.99970142113241,6.870312e-05,-1.9998351527595e-05,173.353611434965,3.00151069372767,0.000346698128862284,-0.000253375449914151,0.0016131106585375,0.000277995008862284
