time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1890,10587,188.2402,3.000215,-3.999338e-05,-1.558632e-06,-1.194012566195,188.248083504972,3.00963837336605,-0.00035943741297279,-0.000585204686715072,0.00942368864652118,-0.00031944403297279,180.590200006118,3.00052094935692,-3.999338e-05,-1.55714285714487e-06,183.455058235605,3.00850360762152,0.000444928340395085,-0.00158791127450638,0.00809723362200422,0.000484921720395085
1891,10596,188.4039,3.000208,-4.022124e-05,-1.259322e-06,-1.17592133253644,188.409091984459,3.00959997344024,-0.000365111760413505,-0.000549694289126863,0.00939218226069368,-0.000324890520413505,180.753900006188,3.00051569248592,-4.022124e-05,-1.25769230579542e-06,183.616067014833,3.00852686327578,0.000429028248501168,-0.0015918797425095,0.00812629068952751,0.000469249488501168
1892,10605,188.5675,3.000202,-4.040012e-05,-9.60011e-07,-1.15789969620978,188.570121914657,3.00956012640348,-0.000370431669916723,-0.000514320674737832,0.00935823232151095,-0.000330031549916723,180.917500006243,3.00051106091792,-4.040012e-05,-9.59340659340366e-07,183.777097246529,3.00854830960859,0.000413094239611801,-0.00159469762914514,0.00815277675574286,0.000453494359611801
1893,10614,188.7312,3.000195,-4.053002e-05,-6.607004e-07,-1.14030458006314,188.731173248256,3.0095188864206,-0.000375398599648003,-0.000479101685314493,0.00932388532869342,-0.000334868579648003,181.081200006283,3.00050505465292,-4.053002e-05,-6.60439559442408e-07,183.93814888356,3.00856795962726,0.00039713772923927,-0.00159638301777687,0.00817869716282771,0.00043766774923927
1894,10623,188.8948,3.000188,-4.061093e-05,-3.613898e-07,-1.12296855633083,188.892245938064,3.00947630783667,-0.000380014181361693,-0.000444053843917106,0.00928820410617896,-0.000339403251361693,181.244800006308,3.00049867361441,-4.061093e-05,-3.60989010444268e-07,184.099221878873,3.00858582676184,0.000381169952679608,-0.00159695384452577,0.0082030738675816,0.000421780882679608
1895,10632,189.0585,3.000182,-4.064286e-05,-6.207923e-08,-1.10572376277385,189.053339937013,3.00943244486965,-0.000384280209059321,-0.000409194797353779,0.00925023514229701,-0.000343637349059321,181.408500006318,3.00049291787891,-4.064286e-05,-6.20879120877626e-08,184.260316185502,3.00860192532069,0.000365201967562676,-0.00159642759094938,0.00822491340076634,0.000405844827562676
1896,10641,189.2221,3.000175,-4.06258e-05,2.372314e-07,-1.08892541210727,189.21445519816,3.00938735120477,-0.000388198677916802,-0.000374546227784439,0.00921204062097668,-0.000347572877916802,181.572100006313,3.00048578736991,-4.06258e-05,2.38674032784702e-07,184.421431756564,3.00861627094328,0.000349244660432199,-0.00159482103540338,0.00824623994844067,0.000389870460432199
1897,10649,189.3676,3.000169,-4.056952e-05,5.032852e-07,-1.07265936555409,189.375591674678,3.00934107972355,-0.000391771799911424,-0.00034012908008739,0.00917240393440656,-0.000351202279911424,181.717600006296,3.00047935682792,-4.056952e-05,5.03296702536622e-07,184.582568545251,3.00862888094139,0.000333308752343425,-0.00159215055893145,0.00826575450518172,0.000373878272343425
1898,10658,189.5313,3.000162,-4.045995e-05,8.025958e-07,-1.05644317193721,189.53674931986,3.00929368241386,-0.000395001993955488,-0.000305964999940094,0.00913190288559345,-0.000354542043955488,181.881300006262,3.00047151861742,-4.045995e-05,8.01648350439441e-07,184.743726504826,3.00863977447829,0.000317404801752728,-0.00158843227831492,0.0082840694871719,0.000357864751752728
1899,10667,189.6949,3.000156,-4.030139e-05,1.101906e-06,-1.04033535100596,189.697928087106,3.00924521029134,-0.000397891914019206,-0.000272078886112492,0.0090893323200805,-0.000357590524019206,182.044900006213,3.00046430563342,-4.030139e-05,1.10109889943805e-06,184.904905588619,3.00864897259541,0.000301543206928771,-0.00158368218989055,0.00829992915569835,0.000341844596928771
